Tempo_ms,Tensao_Resistor_V,Tensao_Capacitor_V
1202,1.67,3.33
1603,1.67,3.33
2004,1.66,3.34
2405,1.64,3.36
2806,1.65,3.35
3208,1.64,3.36
3608,1.62,3.38
4009,1.62,3.38
4411,1.61,3.39
4811,1.61,3.39
5213,1.59,3.41
